rowNum,Duration(Sec),Start date,StartTime,StartLat,StartLon,EndLat,EndLon,Walk Time,Transit Time,Waiting Time,Num Transfers,AltBikeTime
19400,1322,05/26/2012,5:05:00 PM,38.9101,-77.0444,38.9375,-77.0328,888,744,242,0,771
19500,624,05/26/2012,5:21:00 PM,38.912682,-77.031681,38.929464,-77.027822,356,504,242,0,463
19600,1655,05/26/2012,5:41:00 PM,38.938736,-77.087171,38.9054,-77.0471,675,558,242,0,1119
19800,1654,05/26/2012,6:21:00 PM,38.933668,-76.991016,38.9236,-77.0501,826,990,242,0,1189
19900,414,05/26/2012,6:41:00 PM,38.9086,-77.0323,38.898364,-77.027869,242,474,242,0,332
20000,1499,05/26/2012,7:02:00 PM,38.8851,-77.0023,38.9176,-77.0321,506,1254,242,0,1132
20100,322,05/26/2012,7:29:00 PM,38.9319,-77.0388,38.929464,-77.027822,170,342,242,0,280
20200,260,05/26/2012,7:58:00 PM,38.9308,-77.0315,38.9319,-77.0388,598,0,0,-1,206
20300,960,05/26/2012,8:32:00 PM,38.891696,-77.0846,38.904036,-77.062697,187,846,242,0,729
20400,774,05/26/2012,9:10:00 PM,38.9365,-77.024,38.9086,-77.0323,482,744,242,0,785
20500,495,05/26/2012,9:55:00 PM,38.9236,-77.0501,38.9319,-77.0388,624,522,242,0,431
20600,1079,05/26/2012,10:43:00 PM,38.893028,-77.026013,38.912682,-77.031681,159,756,242,0,533
20700,147,05/26/2012,11:35:00 PM,38.9121,-77.0387,38.91554,-77.03818,315,0,0,-1,235
20800,1827,05/27/2012,12:36:00 AM,38.899641,-77.032005,38.853613,-77.053535,653,798,242,0,1547
20900,981,05/27/2012,1:54:00 AM,38.929464,-77.027822,38.922925,-77.042581,543,480,242,0,351
21000,654,05/27/2012,3:37:00 AM,38.9059,-77.0325,38.9172,-77.0259,1192,0,0,-1,396
21100,983,05/27/2012,9:06:00 AM,38.926088,-77.036536,38.90985,-77.034438,209,306,242,0,410
21200,376,05/27/2012,9:50:00 AM,38.8803,-76.9862,38.881185,-77.001828,627,234,242,0,315
21300,8833,05/27/2012,10:25:00 AM,38.887237,-77.028226,38.8426,-77.0502,855,1266,828,1,1596
21400,783,05/27/2012,10:52:00 AM,38.8851,-77.0023,38.9003,-77.016,464,924,242,0,546
21500,396,05/27/2012,11:18:00 AM,38.9176,-77.0321,38.9101,-77.0444,743,180,242,0,324
21600,823,05/27/2012,11:42:00 AM,38.9059,-77.0325,38.887237,-77.028226,450,246,242,0,566
21700,491,05/27/2012,12:03:00 PM,38.9268,-77.0322,38.9121,-77.0387,517,342,242,0,394
21800,268,05/27/2012,12:21:00 PM,38.9172,-77.0259,38.91554,-77.03818,217,210,242,0,265
21900,535,05/27/2012,12:36:00 PM,38.9121,-77.0387,38.9154,-77.0446,699,0,0,-1,274
22000,401,05/27/2012,12:53:00 PM,38.9176,-77.0321,38.9101,-77.0444,247,600,588,1,324
22100,532,05/27/2012,1:11:00 PM,38.898364,-77.027869,38.9086,-77.0323,240,528,242,0,295
22200,499,05/27/2012,1:29:00 PM,38.9268,-77.0322,38.912682,-77.031681,161,444,241,-1,379
22300,957,05/27/2012,1:46:00 PM,38.91554,-77.03818,38.894919,-77.046587,250,720,805,1,546
22400,1301,05/27/2012,2:05:00 PM,38.893028,-77.026013,38.8767,-77.0178,523,216,242,0,512
22500,737,05/27/2012,2:24:00 PM,38.886952,-76.996806,38.900017,-77.001967,379,594,539,1,400
22600,539,05/27/2012,2:41:00 PM,38.8573,-77.0574,38.8426,-77.0502,1059,174,242,0,480
22700,287,05/27/2012,2:59:00 PM,38.900017,-77.001967,38.899983,-76.991383,144,270,241,-1,192
22800,320,05/27/2012,3:18:00 PM,38.9003,-77.016,38.9057,-77.0056,325,378,242,0,322
23000,869,05/27/2012,3:52:00 PM,38.90304,-77.019027,38.917761,-77.04062,559,738,242,0,680
23100,773,05/27/2012,4:09:00 PM,38.9154,-77.0446,38.9375,-77.0328,165,840,729,1,663
23200,1056,05/27/2012,4:28:00 PM,38.90572,-77.022264,38.9365,-77.024,49,426,242,0,718
23300,476,05/27/2012,4:48:00 PM,38.9086,-77.0323,38.915417,-77.012289,379,606,242,0,401
23400,159,05/27/2012,5:14:00 PM,38.926088,-77.036536,38.922925,-77.042581,49,306,242,0,150
23500,1338,05/27/2012,5:42:00 PM,38.9268,-77.0322,38.912682,-77.031681,161,390,241,-1,379
23600,940,05/27/2012,6:09:00 PM,38.8997,-77.023086,38.926088,-77.036536,629,462,242,0,795
23700,136,05/27/2012,6:40:00 PM,38.9268,-77.0322,38.929464,-77.027822,557,0,0,-1,157
23800,410,05/27/2012,7:23:00 PM,38.90276,-77.03863,38.91554,-77.03818,389,354,243,0,395
23900,1453,05/27/2012,8:20:00 PM,38.881185,-77.001828,38.9003,-77.016,338,936,242,0,624
24000,739,05/27/2012,9:07:00 PM,38.922925,-77.042581,38.90572,-77.022264,83,630,785,1,701
